code_insee,commune,departement,code_departement,domain,domain_confidence,email_pattern,email_pattern_confidence,emails_domain_samples,drh_prenom,drh_nom,drh_poste,drh_confidence,drh_source_url,drh_email_public,drh_email_reconstitue,drh_email_confidence,drh_reason,dgs_prenom,dgs_nom,dgs_poste,dgs_confidence,dgs_source_url,dgs_email_public,dgs_email_reconstitue,dgs_email_confidence,dgs_reason,population
77005,Aubepierre-Ozouer-le-Repos,Seine-et-Marne,77,aubepierre-ozouerlerepos.fr,haute,,basse,mairie@aubepierre-ozouerlerepos.fr,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,3408
77014,Barbey,Seine-et-Marne,77,adresses-mairies.fr,moyenne,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,13651
77017,Bassevelle,Seine-et-Marne,77,bassevelle.fr,haute,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,
77018,Beauchery-Saint-Martin,Seine-et-Marne,77,collectivite.fr,moyenne,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,6980
77028,Boissise-la-Bertrand,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,
77037,Brie-Comte-Robert,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,6072
77040,Brou-sur-Chantereine,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,3941
77042,Burcy,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,3346
77048,Carnetin,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2774
77051,Cerneux,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2344
77053,Chailly-en-Bière,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,19003
77055,Chaintreaux,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,5196
77058,Chalifert,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,27498
77061,Chamigny,Seine-et-Marne,77,,basse,,basse,,,,,basse,,,,basse,no_snippets,,,,basse,,,,basse,no_snippets,2742
